created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-31 08:39:18 UTC,12892,18294.8046875,6.659999847412109,48.27000045776367,3.63057794292033,6.8125,1711874358
2024-03-31 09:09:21 UTC,12896,18294.3515625,6.690000057220459,50.16999816894531,0,6.6875,1711876161
2024-03-31 09:39:24 UTC,12888,18294.3515625,6.019999980926514,49.95999908447266,3.637708190374534,6.625,1711877964
2024-03-31 10:09:27 UTC,12887,18294.3515625,5.730000019073486,51.7599983215332,3.638268281856521,5.6875,1711879767
2024-03-31 10:39:30 UTC,12890,18294.3515625,5.909999847412109,52.04999923706055,3.639182927687617,5.9375,1711881570
2024-03-31 11:09:33 UTC,12877,18294.3515625,6.239999771118164,50.04000091552734,3.639314078397373,6.25,1711883373
2024-03-31 11:39:36 UTC,12886,18294.3515625,6.420000076293945,48.77000045776367,3.63892421543347,6.375,1711885176
2024-03-31 12:09:39 UTC,12885,18294.3515625,6.389999866485596,49.93000030517578,3.639042638652545,6.75,1711886979
2024-03-31 12:39:42 UTC,12879,18295.2578125,7.5,46.70999908447266,3.640085238709412,7.125,1711888782
2024-03-31 13:09:45 UTC,12898,18300.701171875,8.65999984741211,44.58000183105469,3.640331083608346,8.75,1711890585
2024-03-31 13:39:48 UTC,12897,18300.701171875,9.579999923706055,45.09000015258789,3.640591526818353,9.9375,1711892388
2024-03-31 14:09:51 UTC,12893,18300.701171875,11.14000034332275,43.59999847412109,3.64103949971297,11.8125,1711894191
2024-03-31 14:39:54 UTC,12880,18301.154296875,10.97999954223633,44.36999893188477,3.642364940261646,11.875,1711895994
2024-03-31 15:09:57 UTC,12894,18302.060546875,13.10000038146973,42.72999954223633,3.642892118702478,14.0625,1711897797
2024-03-31 15:40:00 UTC,12884,18300.701171875,13.53999996185303,42.34000015258789,3.643368824391675,14.8125,1711899600
2024-03-31 16:10:04 UTC,12882,18300.701171875,15.34000015258789,40.31000137329102,3.644027153542263,15.3125,1711901404
2024-03-31 16:40:07 UTC,12895,18303.421875,17.8700008392334,35.70999908447266,3.644468265307929,16.75,1711903207
2024-03-31 17:10:10 UTC,12878,18300.701171875,16.85000038146973,36.04000091552734,3.645214028265021,18.25,1711905010
2024-03-31 17:40:13 UTC,12913,18299.794921875,16.22999954223633,34.90999984741211,3.64602258196918,17.9375,1711906813
2024-03-31 18:10:16 UTC,12908,18300.701171875,18.1299991607666,33.9900016784668,3.646601705573554,19,1711908616
2024-03-31 18:40:20 UTC,12899,18300.701171875,17.38999938964844,32.9900016784668,3.647803856742427,19.1875,1711910420
2024-03-31 19:10:23 UTC,12907,18300.701171875,19.20999908447266,30.65999984741211,3.648593336602772,20.8125,1711912223
2024-03-31 19:40:28 UTC,12901,18303.876953125,23.14999961853027,24.92000007629395,3.649858371190901,24.625,1711914028
2024-03-31 20:10:31 UTC,12918,18301.154296875,22.09000015258789,26,3.650595905887704,26.0625,1711915831
2024-03-31 20:40:36 UTC,12914,18297.52734375,20.52000045776367,28.32999992370605,3.651825341035427,25.1875,1711917636
2024-03-31 21:10:39 UTC,12905,18297.52734375,17.48999977111816,31.67000007629395,3.652500126706592,20.5625,1711919439
2024-03-31 21:40:42 UTC,12906,18294.3515625,15.14999961853027,33.5,3.654006133006594,16.875,1711921242
2024-03-31 22:10:45 UTC,12912,18294.3515625,14.26000022888184,36.66999816894531,3.654705603458623,15.0625,1711923045
2024-03-31 22:40:48 UTC,12910,18291.17578125,13.21000003814697,39.68000030517578,3.656225594291411,13.5625,1711924848
2024-03-31 23:10:51 UTC,12915,18288.90625,12.1899995803833,43.41999816894531,3.656739393268332,12.6875,1711926651
2024-03-31 23:40:54 UTC,12904,18288.001953125,11.61999988555908,45.5,3.657934339126889,11.875,1711928454
2024-04-01 00:10:57 UTC,12916,18285.279296875,11.17000007629395,48.40999984741211,3.658221325327262,11.25,1711930257
2024-04-01 00:41:00 UTC,12909,18284.826171875,10.39000034332275,50.66999816894531,3.658858342895469,10.625,1711932060
2024-04-01 01:11:03 UTC,12902,18284.826171875,9.710000038146973,53.72999954223633,3.658620726256822,9.9375,1711933863
2024-04-01 01:41:06 UTC,12917,18281.65234375,9.130000114440918,56.47999954223633,3.658820458524151,9.4375,1711935666
